iter	MultiClass
0	1.444319875
1	1.143513406
2	0.9805031777
3	0.8542853911
4	0.7561713382
5	0.6773698977
6	0.6093459496
7	0.5522332863
8	0.5050379842
9	0.4627823398
10	0.4253423999
11	0.3934826868
12	0.3651642652
13	0.3404916898
14	0.3187660856
15	0.2995642063
16	0.282325064
17	0.2673575972
18	0.2528149741
19	0.239948705
20	0.2280756042
21	0.2176931452
22	0.2089924216
23	0.2005559956
24	0.1929874857
25	0.185929152
26	0.1797810498
27	0.1745493022
28	0.1695062886
29	0.1647941312
30	0.1605598228
31	0.1564584031
32	0.1529626076
33	0.1499383489
34	0.1472038447
35	0.1443586088
36	0.1417862417
37	0.1395505506
38	0.1374716945
39	0.135729488
40	0.1340400836
41	0.13258227
42	0.1311350277
43	0.1298325859
44	0.1286842299
45	0.1276709418
46	0.1266201149
47	0.1256879195
48	0.12479128
49	0.1239863106
50	0.1232175332
51	0.1225367688
52	0.1220568983
53	0.121504584
54	0.1210286042
55	0.1205626086
56	0.1201592132
57	0.1197271687
58	0.1193498974
59	0.1189632219
60	0.1185972096
61	0.1182419766
62	0.1179218609
63	0.1176787397
64	0.1174011769
65	0.1171695626
66	0.1168987781
67	0.1166973169
68	0.116467224
69	0.1163401372
70	0.1161881442
71	0.1160450383
72	0.1159013598
73	0.1157999796
74	0.1156347347
75	0.1154749714
76	0.1153088367
77	0.115169053
78	0.1150232689
79	0.114939453
80	0.1148354961
81	0.1147157411
82	0.114641367
83	0.1145604835
84	0.1144784047
85	0.1144143754
86	0.114310448
87	0.1142176814
88	0.1141199699
89	0.1140411751
90	0.1139535846
91	0.1138757222
92	0.1138078877
93	0.1137482682
94	0.113679568
95	0.1136302726
96	0.1135627048
97	0.113492133
98	0.1134222911
99	0.1133848962
100	0.1133283324
101	0.1132789658
102	0.1132314311
103	0.1131864535
104	0.1131456594
105	0.1131142857
106	0.1130674631
107	0.1130270033
108	0.1129885576
109	0.1129551278
110	0.1129306477
111	0.1128900863
112	0.1128585475
113	0.1128303219
114	0.112807522
115	0.1127821309
116	0.1127477774
117	0.1127153946
118	0.1126778177
119	0.1126464866
120	0.1126208657
121	0.1125976057
122	0.1125732616
123	0.1125511201
124	0.1125330341
125	0.1125137396
126	0.1124917417
127	0.1124673481
128	0.1124467503
129	0.1124230475
130	0.1124064207
131	0.1123902093
132	0.1123645056
133	0.1123452455
134	0.1123276292
135	0.1123143838
136	0.1122999977
137	0.1122810936
138	0.1122628372
139	0.1122396841
140	0.1122246673
141	0.1122056782
142	0.1121892087
143	0.1121720096
144	0.1121532079
145	0.1121325178
146	0.1121177042
147	0.1121025225
148	0.1120902658
149	0.1120783268
150	0.1120666937
151	0.1120517333
152	0.1120406473
153	0.1120274552
154	0.1120104032
155	0.1120000541
156	0.1119874026
157	0.1119775227
158	0.1119628701
159	0.111949705
160	0.1119385749
161	0.1119295308
162	0.111916952
163	0.111908283
164	0.1118981278
165	0.111889831
166	0.1118785284
167	0.1118684215
168	0.1118590574
169	0.1118496677
170	0.1118421715
171	0.111831642
172	0.1118230218
173	0.1118131794
174	0.1118062436
175	0.1117994475
176	0.1117927868
177	0.1117862575
178	0.1117771373
179	0.1117692164
180	0.111763038
181	0.1117569774
182	0.1117510312
183	0.111742684
184	0.1117354427
185	0.1117298028
186	0.1117228819
187	0.1117146151
188	0.1117092599
189	0.1117040001
190	0.1116988333
191	0.1116913884
192	0.1116849287
193	0.1116775974
194	0.1116715093
195	0.1116646402
196	0.1116587685
197	0.1116516468
198	0.1116460276
199	0.1116415608
200	0.111636135
201	0.1116282623
202	0.1116240017
203	0.1116198096
204	0.1116147004
205	0.1116096985
206	0.1116056973
207	0.1116008583
208	0.1115961174
209	0.1115922942
210	0.1115877035
211	0.111583203
212	0.1115776308
213	0.1115707544
214	0.111565198
215	0.1115616859
216	0.1115582256
217	0.1115535894
218	0.1115502252
219	0.111546179
220	0.1115410645
221	0.1115366608
222	0.1115334713
223	0.1115285133
224	0.1115237729
225	0.1115200386
226	0.11151537
227	0.1115117419
228	0.1115081781
229	0.1115037875
230	0.1115009204
231	0.1114969655
232	0.1114930978
233	0.1114897404
