iter	Passed	Remaining
0	100	99934
1	182	91193
2	264	87950
3	346	86285
4	426	84961
5	511	84671
6	595	84444
7	693	85954
8	775	85383
9	853	84515
10	939	84442
11	1050	86514
12	1158	87931
13	1261	88820
14	1375	90350
15	1487	91508
16	1729	100033
17	1843	100594
18	1936	99976
19	2020	99004
20	2106	98209
21	2191	97441
22	2268	96368
23	2347	95456
24	2433	94910
25	2511	94095
26	2594	93481
27	2673	92793
28	2751	92121
29	2827	91422
30	2906	90866
31	2987	90377
32	3063	89763
33	3139	89200
34	3229	89052
35	3309	88613
36	3390	88236
37	3466	87766
38	3543	87326
39	3622	86929
40	3706	86695
41	3784	86312
42	3863	85996
43	3942	85668
44	4018	85288
45	4095	84938
46	4174	84647
47	4251	84322
48	4328	84005
49	4405	83697
50	4484	83443
51	4559	83120
52	4621	82585
53	4700	82338
54	4777	82081
55	4855	81855
56	4931	81581
57	5008	81337
58	5079	81021
59	5157	80795
60	5234	80579
61	5309	80320
62	5387	80133
63	5452	79736
64	5533	79601
65	5610	79396
66	5697	79334
67	5765	79022
68	5840	78808
69	5900	78386
70	5968	78095
71	6033	77759
72	6105	77537
73	6159	77083
74	6236	76917
75	6312	76746
76	6390	76605
77	6468	76464
78	6542	76268
79	6607	75983
80	6684	75839
81	6763	75717
82	6825	75409
83	6893	75171
84	6955	74872
85	7018	74591
86	7098	74493
87	7170	74316
88	7259	74303
89	7339	74209
90	7426	74179
91	7511	74132
92	7588	74005
93	7669	73916
94	7744	73775
95	7808	73526
96	7886	73417
97	7962	73285
98	8040	73180
99	8103	72935
100	8183	72838
101	8251	72643
102	8329	72542
103	8405	72415
104	8490	72368
105	8559	72188
106	8638	72092
107	8714	71975
108	8790	71857
109	8869	71760
110	8929	71520
111	9007	71412
112	9078	71262
113	9154	71150
114	9223	70980
115	9292	70818
116	9370	70720
117	9451	70644
118	9533	70580
119	9609	70471
120	9687	70377
121	9767	70295
122	9846	70208
123	9921	70092
124	9990	69931
125	10066	69824
126	10144	69731
127	10227	69674
128	10304	69572
129	10385	69500
130	10445	69293
131	10521	69185
132	10602	69115
133	10679	69016
134	10759	68940
135	10827	68785
136	10903	68681
137	10984	68612
138	11061	68520
139	11137	68413
140	11214	68323
141	11295	68250
142	11370	68140
143	11450	68068
144	11529	67982
145	11604	67877
146	11680	67780
147	11759	67698
148	11839	67620
149	11917	67532
150	11996	67449
151	12074	67363
152	12152	67278
153	12230	67185
154	12312	67121
155	12386	67015
156	12464	66926
157	12545	66853
158	12628	66797
159	12709	66724
160	12785	66625
161	12868	66568
162	12946	66480
163	13021	66376
164	13099	66293
165	13178	66208
166	13256	66124
167	13334	66035
168	13416	65972
169	13494	65886
170	13576	65817
171	13653	65726
172	13731	65641
173	13808	65548
174	13885	65461
175	13967	65393
176	14046	65311
177	14131	65260
178	14214	65194
179	14293	65112
180	14375	65046
181	14457	64977
182	14531	64877
183	14610	64796
184	14688	64710
185	14767	64626
186	14845	64543
187	14925	64466
188	15003	64381
189	15079	64284
190	15159	64207
191	15236	64118
192	15313	64029
193	15389	63938
194	15470	63863
195	15546	63771
196	15627	63699
197	15702	63601
198	15780	63516
199	15859	63438
200	15937	63351
201	16019	63283
202	16095	63191
203	16175	63117
204	16260	63058
205	16337	62970
206	16421	62908
207	16499	62826
208	16577	62741
209	16656	62659
210	16734	62576
211	16815	62501
212	16892	62414
213	16972	62339
214	17123	62521
215	17201	62434
216	17288	62380
217	17366	62298
218	17447	62220
219	17524	62130
220	17611	62079
221	17691	62001
222	17771	61920
223	17851	61841
224	17954	61842
225	18058	61845
226	18161	61844
227	18269	61860
228	18356	61803
229	18433	61712
230	18508	61614
231	18588	61535
232	18666	61446
233	18744	61359
234	18821	61269
235	18900	61185
236	18979	61103
237	19057	61014
238	19135	60930
239	19215	60850
240	19292	60759
241	19372	60678
242	19451	60595
243	19528	60504
244	19606	60420
245	19682	60326
246	19762	60247
247	19840	60160
248	19916	60070
249	20011	60034
250	20114	60022
251	20212	59996
252	20310	59968
253	20407	59938
254	20509	59920
255	20587	59833
256	20668	59752
257	20745	59663
258	20840	59625
259	20917	59535
260	20993	59441
261	21072	59357
262	21154	59281
263	21236	59205
264	21325	59146
265	21403	59061
266	21482	58976
267	21565	58902
268	21640	58808
269	21719	58722
270	21797	58635
271	21876	58551
272	21956	58470
273	22034	58383
274	22113	58298
275	22189	58207
276	22276	58143
277	22357	58065
278	22436	57981
279	22513	57892
280	22592	57808
281	22699	57794
282	22784	57725
283	22862	57639
284	22940	57551
285	23016	57461
286	23094	57373
287	23175	57295
288	23270	57249
289	23345	57157
290	23424	57073
291	23503	56988
292	23584	56909
293	23672	56846
294	23749	56756
295	23830	56677
296	23913	56604
297	24000	56537
298	24076	56446
299	24154	56359
300	24232	56274
301	24310	56187
302	24389	56103
303	24472	56029
304	24552	55947
305	24633	55868
306	24709	55777
307	24788	55694
308	24868	55612
309	24946	55525
310	25025	55443
311	25103	55356
312	25182	55271
313	25262	55191
314	25341	55106
315	25419	55022
316	25503	54948
317	25704	55127
318	25836	55155
319	25914	55069
320	25989	54974
321	26069	54890
322	26151	54813
323	26230	54726
324	26304	54633
325	26384	54549
326	26462	54463
327	26538	54371
328	26619	54291
329	26698	54206
330	26778	54124
331	26856	54035
332	26932	53945
333	27012	53863
334	27088	53773
335	27170	53694
336	27249	53608
337	27337	53543
338	27416	53458
339	27499	53381
340	27574	53288
341	27652	53202
342	27729	53114
343	27803	53021
344	27882	52936
345	27960	52850
346	28035	52758
347	28112	52670
348	28191	52586
349	28267	52497
350	28346	52411
351	28423	52325
352	28500	52237
353	28576	52147
354	28650	52054
355	28729	51971
356	28807	51885
357	28888	51804
358	28964	51716
359	29040	51627
360	29120	51546
361	29227	51512
362	29309	51432
363	29386	51345
364	29463	51257
365	29539	51168
366	29616	51082
367	29695	50997
368	29772	50911
369	29848	50823
370	29926	50737
371	30002	50648
372	30078	50561
373	30166	50493
374	30297	50496
375	30401	50453
376	30493	50390
377	30569	50301
378	30644	50211
379	30721	50124
380	30797	50036
381	30879	49957
382	30954	49867
383	31031	49778
384	31107	49691
385	31182	49600
386	31259	49514
387	31338	49431
388	31420	49351
389	31523	49305
390	31625	49257
391	31732	49217
392	31831	49164
393	31933	49116
394	32035	49067
395	32138	49019
396	32234	48960
397	32339	48915
398	32423	48838
399	32514	48772
